frequency_hz,level_db
3811.52,-84.32
3814.45,-84.59
3817.38,-80.63
3820.31,-82.10
3823.24,-85.44
3826.17,-83.66
3829.10,-82.70
3832.03,-84.38
3834.96,-88.33
3837.89,-88.44
3840.82,-84.74
3843.75,-82.97
3846.68,-85.65
3849.61,-85.45
3852.54,-80.50
3855.47,-82.17
3858.40,-86.38
3861.33,-82.04
3864.26,-81.07
3867.19,-82.15
3870.12,-83.70
3873.05,-85.28
3875.98,-84.23
3878.91,-82.21
3881.84,-83.77
3884.77,-86.31
3887.70,-81.21
3890.63,-78.90
3893.55,-80.48
3896.48,-82.74
3899.41,-79.78
3902.34,-79.37
3905.27,-81.15
3908.20,-81.15
3911.13,-81.29
3914.06,-80.16
3916.99,-80.53
3919.92,-81.98
3922.85,-80.25
3925.78,-79.87
3928.71,-83.55
3931.64,-83.47
3934.57,-81.11
3937.50,-82.71
3940.43,-84.84
3943.36,-81.38
3946.29,-81.29
3949.22,-84.97
3952.15,-80.45
3955.08,-81.31
3958.01,-88.18
3960.94,-83.24
3963.87,-82.97
3966.80,-87.55
3969.73,-84.48
3972.66,-83.02
3975.59,-82.97
3978.52,-81.38
3981.45,-84.75
3984.38,-84.88
3987.30,-81.29
3990.23,-83.21
3993.16,-85.61
3996.09,-85.12
3999.02,-83.14
4001.95,-88.08
4004.88,-87.73
4007.81,-83.47
4010.74,-85.66
4013.67,-92.27
4016.60,-87.58
4019.53,-85.96
4022.46,-90.33
4025.39,-92.71
4028.32,-88.48
4031.25,-86.83
4034.18,-91.91
4037.11,-94.37
4040.04,-86.76
4042.97,-87.64
4045.90,-92.99
4048.83,-88.40
4051.76,-88.08
4054.69,-90.04
4057.62,-91.51
4060.55,-91.22
4063.48,-92.86
4066.41,-89.40
4069.34,-89.45
4072.27,-95.53
4075.20,-86.89
4078.13,-83.67
4081.05,-89.63
4083.98,-85.01
4086.91,-81.07
4089.84,-85.62
4092.77,-83.66
4095.70,-81.13
4098.63,-83.95
4101.56,-83.88
4104.49,-81.86
4107.42,-82.87
4110.35,-85.17
4113.28,-83.64
4116.21,-84.56
4119.14,-90.33
4122.07,-83.83
4125.00,-83.96
4127.93,-87.47
4130.86,-82.24
4133.79,-82.71
4136.72,-86.93
4139.65,-84.28
4142.58,-83.97
4145.51,-87.03
4148.44,-84.40
4151.37,-83.58
4154.30,-87.61
4157.23,-84.49
4160.16,-82.64
4163.09,-86.25
4166.02,-87.06
4168.95,-86.06
4171.88,-89.62
4174.80,-89.59
4177.73,-86.12
4180.66,-89.14
4183.59,-96.36
4186.52,-88.08
4189.45,-87.50
4192.38,-96.40
